date,title,source,media_name,ideology,Congress
15/10/2020,'Army' of poll watchers stirs fears of violence; Trump prods supporters to 'monitor' voting sites,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/'Army' of poll watchers stirs fears of violence Trump prods supporters to 'monitor' voting sites.docx,USA Today,left,116th
14/11/2020,"As a G.O.P. Playbook on Voter Fraud Falls Flat, Some Ask: Whatâ€™s Next?","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/As a G.O.P. Playbook on Voter Fraud Falls Flat, Some Ask_ What_s Next_.docx",The New York Times,left,116th
12/07/2021,"As Republicans Take Aim at Voting, Democrats Search for a Response","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/As Republicans Take Aim at Voting, Democrats Search for a Response.docx",The New York Times,left,117th
25/10/2019,"As Student Voter Turnout Rises, So Do Barriers to the Ballot Box","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/As Student Voter Turnout Rises, So Do Barriers to the Ballot Box.docx",The New York Times,left,116th
10/04/2021,Assault On The Second Amendment; The Left Attempts To Limit Second Amendment Right; Biden Administration Fails To Contain Border Crisis; Humanitarian Crisis At Border Worsens; Cancel Culture Comes For Georgia; United Airlines Announces Pilot Diversity Goals; Democrats' Policies Incentivize Illegal Immigration,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Assault On The Second Amendment; The Left Attempts To Limit Second Amendment Right; Biden Administra.docx,Fox News,right,117th
11/10/2019,"At Louisiana Rally, Trump Lashes Out at Impeachment Inquiry and Pelosi","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/At Louisiana Rally, Trump Lashes Out at Impeachment Inquiry and Pelosi.docx",The New York Times,left,116th
21/10/2021,Attorney General Merrick Garland Grilled On DOJ Action Versus School Threats; GOP Reps: House To Vote Steve Bannon Contempt Referral; Record Number Of Ships Backlogged Near California Ports; Afghan Evacuation Flights Lands In Doha,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Attorney General Merrick Garland Grilled On DOJ Action Versus School Threats; GOP Reps_ House To Vot.docx,Fox News,right,117th
13/03/2020,Bernie Sanders and the Case of the Missing Youth Vote,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Bernie Sanders and the Case of the Missing Youth Vote.docx,The New York Times,left,116th
14/03/2020,Bernie Sanders and the Missing Youth Vote,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Bernie Sanders and the Missing Youth Vote.docx,The New York Times,left,116th
24/12/2021,Best of Hannity Special,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Best of Hannity Special.docx,Fox News,right,117th
07/04/2021,"Biden Admin Backtracks On China Olympics Boycott; Left Using Racist Rhetoric To Blast GA Voting Law; Big Biz Team Up With Far Left To Transform U.S.; Texas Lieutenant Governor Dan Patrick Interviewed on Immigration at U.S.-Mexico Border and American Airlines Criticism of Texas Voting Bill; President Biden and Democrat Politicians Use of Term ""Infrastructure"" to Describe Spending in Proposed Bill Examined; Analysts Criticize Claims for Number of Jobs Created by President Biden's Infrastructure Spending Bill.",C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Biden Admin Backtracks On China Olympics Boycott; Left Using Racist Rhetoric To Blast GA Voting Law;.docx,Fox News,right,117th
03/03/2021,Biden Admin Refuses To Recognize The Reality Of A Growing Border Crisis; Cuomo Deflects Blame On Leadership Failures; Dems' HR1 Voting Overhaul Bill Creates Perfect Storm For Election Chaos; Interview With Rep. Kevin McCarthy (R-CA); Interview With Former Secretary Of State Mike Pompeo,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Biden Admin Refuses To Recognize The Reality Of A Growing Border Crisis; Cuomo Deflects Blame On Lea.docx,Fox News,right,117th
28/03/2021,Biden Administration Focuses On Image Over Policy Substance; The Democrats' Endless Virtue Signaling; Fact-Checking Joe Biden's Claims On Voting Reforms; Former CDC Chief Believes COVID-19 Likely COVID-19 Originated From Chinese Laboratory; Democrats Stealth Universal Basic Income Plan; The Push For Vaccine Passports; The Biden Family Connection,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Biden Administration Focuses On Image Over Policy Substance; The Democrats' Endless Virtue Signaling.docx,Fox News,right,117th
08/07/2021,Biden Administration Projecting Weakness and Chaos; Biden Takes Credit for Bin Laden Death Despite Advising Obama Against Raid; Biden's Policies are Weakening the U.S. Economy,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Biden Administration Projecting Weakness and Chaos; Biden Takes Credit for Bin Laden Death Despite A.docx,Fox News,right,117th
06/04/2021,"Biden Again Calls Georgia Voting Laws ""Jim Crow""; Interview With Senator Lindsey Graham (R-SC); Interview With Rep. Kevin McCarthy (R-CA); Interview With Senator Ted Cruz (R-TX)",C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Biden Again Calls Georgia Voting Laws _Jim Crow_; Interview With Senator Lindsey Graham (R- SC ); In.docx,Fox News,right,117th
01/04/2021,Biden Agenda: Turn America Into New York & California; Interview with Governor Greg Abbott of Texas; Interview with House Minority Leader Kevin McCarthy (R-CA),C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Biden Agenda_ Turn America Into New York & California ; Interview with Governor Greg Abbott of Texas.docx,Fox News,right,117th
26/04/2021,Biden And Dems At War With Policing In The U.S.; Left's War On Police Making America Less Safe; Team Biden Demonizing Law Enforcement; California Will Lose House Seat In Apportionment After Census; Effectiveness Of Policies Of Republican State Governors Examined; Academy Awards Has Lowest Ratings In History; High School Track Runner Collapses While Wearing Mask During Race; Michigan State Mask Mandate Takes Effect For Children Two To Four Years Old,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Biden And Dems At War With Policing In The U.S. ; Left's War On Police Making America Less Safe; Tea.docx,Fox News,right,117th
